Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-02-17,Do Revenge,2022,https://boxd.it/3RNvqD,4.5,,"soooo self aware this is the right way to do an ""ironic"" and ""cringey"" movie",,2023-02-16
2023-02-17,The Spectacular Now,2013,https://boxd.it/3RNzIL,2,,i have never felt more confused and fucked up by anything,,2023-02-16
2023-02-17,The Edge of Seventeen,2016,https://boxd.it/3RNAHJ,5,Yes,so amazing so real she like me fr i love hailee steinfeld,,2023-05-05
2023-02-17,Not Another Teen Movie,2001,https://boxd.it/3RNC9f,4.5,,lowkey a less pg shes all that but thats what makes it better ,,2023-02-16
2023-04-05,Daisy Jones & the Six,2023,https://boxd.it/44DMcb,4.5,,so good and the songs are too catchy its illegal wtf,,2023-04-04
2023-04-07,The Super Mario Bros. Movie,2023,https://boxd.it/45ctGV,3.5,,"super fun and lighthearted movie, felt the pacing and comedic timing was odd at times but overall great movie",in theatres,2023-04-06
2023-04-10,Prom Pact,2023,https://boxd.it/46i9Qn,4,,"she was kinda a horrible friend but i like how everyone gets what they wanted without the ""omg ofc ill sacrifice everything to be with you"" thing",,2023-04-09
2023-04-10,The Menu,2022,https://boxd.it/46kpB3,1,,i feel like id like it if i understood it,,2023-04-09
2023-05-08,Stuck in Love,2012,https://boxd.it/4dERQD,4,Yes,the roller coaster that this is is just real and kinda fun idk ,,2023-05-07
2023-05-11,The Hunger Games,2012,https://boxd.it/4ezKzf,4,,i mean cmon its a classic (i love haymitch),,2023-05-10
2023-05-11,The Hunger Games: Catching Fire,2013,https://boxd.it/4ezLcB,5,,LITERALLY THE BEST OF THE TRILOGYYY FINNICK>>>>,,2023-05-10
2023-05-11,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4ezLV7,3.5,,its good but i miss peeta,,2023-05-10
2023-05-11,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4ezNW7,3.5,,the end is a nice wrap up but middle is not that good sorry,,2023-05-11
2023-05-11,Missing,2023,https://boxd.it/4ezRRZ,3,,i liked it but hated it (in a good way) at the same time? my emotions were everywhere ,,2023-05-11
2023-05-13,"Love, Rosie",2014,https://boxd.it/4eXSUN,4.5,,i faked a british accent the whole time while watching this bc i could totally play rosie,,2023-05-12
2023-05-13,The Starving Games,2013,https://boxd.it/4f0fht,2,,i could only get through half but everything is just crazy out of pocket but def some funny moments,,
2023-05-15,The Mortal Instruments: City of Bones,2013,https://boxd.it/4fvhGd,2,,lots to say but what matters is - i wish i could say i liked it but in reality i wasted 2 hours of my life ,,2023-05-14
2023-05-26,Everything Everywhere All at Once,2022,https://boxd.it/4i95KP,5,,slightly confused but crying,i cry,2023-05-25
2023-06-05,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/4kOWC5,4,,i love the art style its so fun and colourful,,2023-06-05
2023-06-11,A Walk to Remember,2002,https://boxd.it/4mhgYF,5,Yes,sobbing shaking quaking this movie altered the course of my life in gr 9,,2023-06-10
2023-06-12,Spider-Man,2002,https://boxd.it/4mxJZf,3.5,,"3 stars but +1/2 for jk simmons, +1/2 for general 2000s goofiness, -1/2 for forcing me to see willem on all fours",,2023-06-11
2023-06-12,Spider-Man 2,2004,https://boxd.it/4mA4kB,4.5,,maybe if mj screamed less itd be 5 stars,,2023-06-11
2023-06-16,Spider-Man 3,2007,https://boxd.it/4nH1Sj,3.5,,i wish we could have an entire movie of emo peter ,,2023-06-15
2023-06-26,"Crazy, Stupid, Love.",2011,https://boxd.it/4qsU9F,5,Yes,i put this in my fav films before reviewing or rating it bc i was that excited i guess ??,,2023-06-25
2023-06-29,The Amazing Spider-Man 2,2014,https://boxd.it/4rudcf,3,Yes,whoever said this movie needed two villains should be fired if it was just electro it wouldve been pretty decent ,,2023-06-28
2023-07-01,Hamilton,2020,https://boxd.it/4rRcX1,5,Yes,this is like my 4th time watching and i still manage to notice smt new,,2023-06-30
2023-07-14,The Matrix,1999,https://boxd.it/4vMDLn,4,,my brain hurt a lil but it’s a crazy good time,,2023-07-13
2023-07-17,Inception,2010,https://boxd.it/4wKH9H,4.5,,trippyyyy,,2023-07-16
2023-07-22,Ghost in the Shell,1995,https://boxd.it/4yosKH,3.5,,she just like me fr having existential crises ,,2023-07-21
2023-07-26,Ex Machina,2015,https://boxd.it/4AjH1v,5,,she just really wanted to touch grass ,,2023-07-25
2023-07-30,Teen Beach Movie,2013,https://boxd.it/4BYmaH,4,Yes,but wtf is actually happening in wet side story ,,2023-07-29
2023-07-31,Barbie,2023,https://boxd.it/4Cj4SN,5,,IM depressed barbie,in theatres,2023-07-30
2023-08-01,Annihilation,2018,https://boxd.it/4CMII7,3.5,,"this was just a constant ""hey i know you from that other movie"" ",,2023-07-31
2023-08-14,Twelve Monkeys,1995,https://boxd.it/4GZ0Lt,4,,the best word to sum up this movie is - insane,,2023-08-13
2023-08-16,Minority Report,2002,https://boxd.it/4HNGHX,4,,i did not expect that bald tom cruise reveal ,,2023-08-16
2023-08-28,27 Dresses,2008,https://boxd.it/4LwrBH,3.5,Yes,how could a movie get so mid so quick ,,2023-08-28
2023-09-18,The Imitation Game,2014,https://boxd.it/4RxXLl,4,,watching this with nerds is the ultimate nerd experience ,,2023-09-17
2023-09-19,Little Miss Sunshine,2006,https://boxd.it/4RUDKN,5,,fuck beauty pageants ,,2023-09-18
2023-09-21,Me Before You,2016,https://boxd.it/4SlHX1,2.5,,i so badly wanted to like this but even sam claflin being that hot couldnt save it,,2023-09-20
2023-09-28,21 Jump Street,2012,https://boxd.it/4UnTA1,5,Yes,HAIL KOREAN JESUS,,2023-09-27
2023-09-30,22 Jump Street,2014,https://boxd.it/4ULf3p,4,Yes,so many iconic scenes in this movie its insane,,2023-09-29
2023-10-17,Taylor Swift: The Eras Tour,2023,https://boxd.it/50xRsN,5,,mother,in theatres,2023-10-16
2023-10-30,The Other Zoey,2023,https://boxd.it/5516ED,2.5,,drew starkey is so hot ,,2023-10-29
2023-11-02,The Rocky Horror Picture Show,1975,https://boxd.it/565ImJ,3,,im so neutral bc wtf did i just watch but its so weird and stupid that its good ,,2023-11-01
2023-11-06,Ex Machina,2015,https://boxd.it/57w0xB,5,Yes,the dance scene is one of the greatest scenes of all time ,,2023-11-05
2023-11-11,Bodies Bodies Bodies,2022,https://boxd.it/58UiUZ,4,,peak comedy ,,2023-11-10
2023-11-13,(500) Days of Summer,2009,https://boxd.it/59wuod,5,Yes,"why are people fighting over who the ""villain"" is like there doesnt have to be a villain or a bad guy. i feel like this is just life, things dont work out between some people and that sucks but no one is bad or evil. (i could talk about this movie forever) ",,2023-11-12
2023-11-14,Starstruck,2010,https://boxd.it/59SNn3,4,Yes,"sara needs to learn how to not be parasocial, jessica needs to be less annoying, christopher needs to be less rich, petunia is GONE, but i still love this movie",,2023-11-13
