Date,Name,Year,Letterboxd URI,Rating
2024-05-27,Nerve,2016,https://boxd.it/aJIc,3.5
2024-05-28,Up,2009,https://boxd.it/1OEc,5
2024-05-28,Lava,2014,https://boxd.it/8S9G,4
2024-05-28,Bao,2018,https://boxd.it/iEl4,5
2024-06-24,Newsies,2017,https://boxd.it/gxzk,5
2024-06-25,Set It Up,2018,https://boxd.it/dpik,4
2024-06-25,Sydney White,2007,https://boxd.it/1VsM,2.5
2024-06-26,Not Another Teen Movie,2001,https://boxd.it/1TWq,3.5
2024-07-01,Brokeback Mountain,2005,https://boxd.it/2b2q,4
2024-07-07,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,5
2024-07-08,Lisa Frankenstein,2024,https://boxd.it/ByjY,4
2024-07-16,Anyone But You,2023,https://boxd.it/EzA8,3
2024-08-01,Mamma Mia!,2008,https://boxd.it/1Tnq,5
2024-08-07,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,4
2024-08-13,No Hard Feelings,2023,https://boxd.it/xouu,5
2024-08-16,The Last Five Years,2014,https://boxd.it/6boO,3
2024-08-23,The Maze Runner,2014,https://boxd.it/5YPM,4
2024-08-25,Maze Runner: The Scorch Trials,2015,https://boxd.it/9hwA,3
2024-08-27,Divergent,2014,https://boxd.it/4VT0,3
2024-08-27,Insurgent,2015,https://boxd.it/7NNa,3
2024-08-27,Allegiant,2016,https://boxd.it/7NNE,2
2024-08-29,John Tucker Must Die,2006,https://boxd.it/1Z2S,3.5
2024-08-30,Pitch Perfect 2,2015,https://boxd.it/7tNa,3.5
2024-08-30,Pitch Perfect 3,2017,https://boxd.it/bUre,2
2024-08-31,Whiplash,2014,https://boxd.it/7bQA,5
2024-09-03,Never Been Kissed,1999,https://boxd.it/1U3c,2
2024-09-05,Priscilla,2023,https://boxd.it/Cz3k,3
2024-09-05,Baby Driver,2017,https://boxd.it/bhF2,4
2024-09-05,Diary of a Wimpy Kid: Dog Days,2012,https://boxd.it/2TG0,3.5
2024-09-10,American Assassin,2017,https://boxd.it/eFLE,2
2024-09-13,Glee: The Concert Movie,2011,https://boxd.it/2fd8,2.5
2024-09-15,Because I Said So,2007,https://boxd.it/28ZE,2.5
2024-10-01,Arrival,2016,https://boxd.it/aNGk,4
2024-10-15,Saturday Night,2024,https://boxd.it/Gpfo,4
2024-10-17,Scream,1996,https://boxd.it/24EC,3.5
2024-10-18,The Fall Guy,2024,https://boxd.it/s0Bm,4
2024-10-31,Wizards of Waverly Place: The Movie,2009,https://boxd.it/1thQ,5
2024-11-01,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,5
2024-11-05,Scream 2,1997,https://boxd.it/24Es,3
2024-11-07,"Red, White & Royal Blue",2023,https://boxd.it/z3iG,4
2024-11-13,We Live in Time,2024,https://boxd.it/FC5u,4.5
2024-11-22,Wicked,2024,https://boxd.it/e8ME,5
2024-11-28,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,4.5
2024-12-27,Inside Out 2,2024,https://boxd.it/CFrC,3
2024-12-30,Moulin Rouge!,2001,https://boxd.it/29wI,4.5
2025-01-10,Everyone is Doing Great,2018,https://boxd.it/hNaW,3
2025-01-19,Sixteen Candles,1984,https://boxd.it/1MJk,1
2025-01-19,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,5
2025-01-29,One of Them Days,2025,https://boxd.it/MReU,4
2025-03-14,Mickey 17,2025,https://boxd.it/q1Dk,3.5
2025-03-24,Bottled with Love,2019,https://boxd.it/lA9a,3.5
2025-03-25,Bride Wars,2009,https://boxd.it/1W3I,3
