Date,Name,Year,Rating,Rewatch,Tags,Watched Date,Letterboxd URI,Like
2023-02-17,Avengers: Infinity War,2018,,No,,,https://boxd.it/9vEe,True
2023-02-17,Back to the Future,1985,,No,,,https://boxd.it/2b8e,True
2023-02-17,Avengers: Endgame,2019,,No,,,https://boxd.it/9vE4,True
2023-02-17,Up,2009,,No,,,https://boxd.it/1OEc,True
2023-02-17,Spider-Man: Far From Home,2019,,No,,,https://boxd.it/fegG,True
2023-02-17,Black Panther,2018,,No,,,https://boxd.it/8MHs,True
2023-02-17,10 Things I Hate About You,1999,5.0,Yes,,2023-02-16,https://boxd.it/23AO,True
2023-02-17,Whiplash,2014,,No,,,https://boxd.it/7bQA,True
2023-02-17,La La Land,2016,,No,,,https://boxd.it/a5fa,True
2023-02-17,The Breakfast Club,1985,,No,,,https://boxd.it/27q4,True
2023-02-17,Shang-Chi and the Legend of the Ten Rings,2021,,No,,,https://boxd.it/kLDI,True
2023-02-17,Captain Marvel,2019,,No,,,https://boxd.it/9vSA,True
2023-02-17,Titanic,1997,,No,,,https://boxd.it/2a2k,False
2023-02-17,Star Wars,1977,,No,,,https://boxd.it/72s,True
2023-04-01,Daisy Jones & the Six,2023,,No,,,https://boxd.it/FmyA,True
2023-04-05,Daisy Jones & the Six,2023,4.5,No,,2023-04-04,https://boxd.it/FmyA,True
2023-04-07,The Super Mario Bros. Movie,2023,3.5,No,in theatres,2023-04-06,https://boxd.it/i8C8,True
2023-04-10,Prom Pact,2023,4.0,No,,2023-04-09,https://boxd.it/z8X0,True
2023-04-10,The Menu,2022,1.0,No,,2023-04-09,https://boxd.it/lScm,True
2023-04-12,Ready or Not,2019,,No,,,https://boxd.it/kOf0,True
2023-04-19,Pitch Perfect,2012,,No,,,https://boxd.it/3OsE,True
2023-05-08,Stuck in Love,2012,4.0,Yes,,2023-05-07,https://boxd.it/3L08,True
2023-05-11,The Hunger Games,2012,4.0,No,,2023-05-10,https://boxd.it/2uds,True
2023-05-11,The Hunger Games: Catching Fire,2013,5.0,No,,2023-05-10,https://boxd.it/3sAw,True
2023-05-11,The Hunger Games: Mockingjay – Part 1,2014,3.5,No,,2023-05-10,https://boxd.it/4hka,True
2023-05-11,The Hunger Games: Mockingjay – Part 2,2015,3.5,No,,2023-05-11,https://boxd.it/4hk0,True
2023-05-11,Missing,2023,3.0,No,,2023-05-11,https://boxd.it/sS1W,False
2023-05-13,She's All That,1999,,No,,,https://boxd.it/1Wz0,True
2023-05-13,How to Lose a Guy in 10 Days,2003,,No,,,https://boxd.it/1XwG,True
2023-05-13,13 Going on 30,2004,,No,,,https://boxd.it/1X6e,True
2023-05-13,Nerve,2016,,No,,,https://boxd.it/aJIc,True
2023-05-13,"Love, Rosie",2014,4.5,No,,2023-05-12,https://boxd.it/62hE,True
