Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-11-14,Starstruck,2010,https://boxd.it/59SNn3,4,Yes,,2023-11-13
2023-11-14,Bottoms,2023,https://boxd.it/59YMG1,4.5,,,2023-11-13
2023-11-20,Miss Americana,2020,https://boxd.it/5bRDPn,5,,,2023-11-19
2023-11-21,Kung Fu Panda,2008,https://boxd.it/5cbY2B,4.5,Yes,,2023-11-20
2023-11-23,Kung Fu Panda 2,2011,https://boxd.it/5cMf4L,4,Yes,,2023-11-22
2023-11-29,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5eYf6z,4.5,,in theatres,2023-11-28
2023-12-05,The Hunger Games,2012,https://boxd.it/5gQppD,4,Yes,,2023-12-04
2023-12-09,The Hunger Games: Catching Fire,2013,https://boxd.it/5ifqvB,5,Yes,,2023-12-09
2023-12-17,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/5l1hlV,3.5,Yes,,2023-12-16
2023-12-18,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/5ljvWx,4,Yes,,2023-12-17
2023-12-23,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5npvKL,4.5,Yes,train time,2023-12-22
2023-12-28,Saltburn,2023,https://boxd.it/5pZxuv,4,,,2023-12-27
2024-01-01,Taylor Swift: The Eras Tour,2023,https://boxd.it/5slYVF,5,Yes,,2023-12-31
2024-11-28,42nd Street,2019,https://boxd.it/7V0Ebd,,,on stage,2024-01-04
2024-01-08,Diary of a Wimpy Kid,2010,https://boxd.it/5xgcwx,3,Yes,,2024-01-07
2024-01-13,Mean Girls,2024,https://boxd.it/5zLcL3,3.5,,in theatres,2024-01-12
2024-01-28,The Queen's Gambit,2020,https://boxd.it/5HGRJf,5,Yes,,2024-01-28
2024-02-04,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/5L1eGv,4,Yes,,2024-02-03
2024-03-15,Taylor Swift: The Eras Tour,2023,https://boxd.it/63nyqX,5,Yes,,2024-03-14
2024-04-24,Theater Camp,2023,https://boxd.it/6kV0Td,4,,,2024-04-23
2024-04-26,Música,2024,https://boxd.it/6lrI1j,3.5,,,2024-04-25
2024-04-26,Challengers,2024,https://boxd.it/6lAFsz,4,,in theatres,2024-04-25
2024-04-28,West Side Story,2021,https://boxd.it/6mvWmn,4.5,,,2024-04-28
2024-05-18,Challengers,2024,https://boxd.it/6uJH3l,4.5,Yes,,2024-05-18
2024-05-21,Emma.,2020,https://boxd.it/6w3ubl,3,,,2024-05-21
2024-05-25,Pinball: The Man Who Saved the Game,2022,https://boxd.it/6xrLOB,4,,,2024-05-24
2024-05-26,The Atlantic City Story,2020,https://boxd.it/6xLz3j,2.5,,,2024-05-25
2024-05-26,Shiva Baby,2020,https://boxd.it/6xS07p,4,,,2024-05-25
2024-05-27,Nerve,2016,https://boxd.it/6yhKpJ,3.5,Yes,,2024-05-26
2024-05-28,Up,2009,https://boxd.it/6yZw6L,5,Yes,,2024-05-27
2024-05-28,Lava,2014,https://boxd.it/6yZRrF,4,Yes,,2024-05-27
2024-05-28,Bao,2018,https://boxd.it/6z0qCj,5,Yes,,2024-05-27
2024-05-29,Challengers,2024,https://boxd.it/6zpfcT,4.5,Yes,in theatres,2024-05-29
2024-06-24,Challengers,2024,https://boxd.it/6JFKT7,4.5,Yes,in theatres,2024-06-23
2024-06-24,Newsies,2017,https://boxd.it/6JOee5,5,,,2024-06-23
2024-06-25,Set It Up,2018,https://boxd.it/6KbLEV,4,Yes,,2024-06-24
2024-06-25,Sydney White,2007,https://boxd.it/6KbOQ1,2.5,,,2024-06-24
2024-06-26,Not Another Teen Movie,2001,https://boxd.it/6KtppF,3.5,Yes,,2024-06-25
2024-07-01,Brokeback Mountain,2005,https://boxd.it/6Mycfl,4,,,2024-07-01
2024-07-07,Scott Pilgrim vs. the World,2010,https://boxd.it/6P11dJ,5,,,2024-07-06
2024-07-08,Lisa Frankenstein,2024,https://boxd.it/6PldvZ,4,,,2024-07-07
2024-07-16,Anyone But You,2023,https://boxd.it/6T6zEl,3,,,2024-07-15
2024-08-01,Mamma Mia!,2008,https://boxd.it/70nzhN,5,Yes,,2024-08-01
2024-11-28,Mean Girls,2024,https://boxd.it/7V0Aab,,Yes,on stage,2024-08-03
2024-08-07,Mamma Mia! Here We Go Again,2018,https://boxd.it/72KOqf,4,,,2024-08-05
2024-08-13,No Hard Feelings,2023,https://boxd.it/75CzqP,5,,,2024-08-12
2024-08-16,The Last Five Years,2014,https://boxd.it/76TYlt,3,,,2024-08-16
2024-08-23,The Maze Runner,2014,https://boxd.it/7aa8wv,4,Yes,,2024-08-22
2024-08-25,Maze Runner: The Scorch Trials,2015,https://boxd.it/7aTtK9,3,Yes,,2024-08-24
2024-08-26,Maze Runner: The Death Cure,2018,https://boxd.it/7bht2p,4,Yes,,2024-08-25
2024-08-27,Divergent,2014,https://boxd.it/7bVlfb,3,,,2024-08-26
2024-08-27,Insurgent,2015,https://boxd.it/7c8g4X,3,,,2024-08-26
2024-08-27,Allegiant,2016,https://boxd.it/7cb7EN,2,,,2024-08-26
2024-08-28,Challengers,2024,https://boxd.it/7cAItd,4.5,Yes,,2024-08-27
2024-08-29,John Tucker Must Die,2006,https://boxd.it/7d05kj,3.5,,,2024-08-28
2024-08-30,Pitch Perfect,2012,https://boxd.it/7dbioP,5,Yes,,2024-08-29
2024-08-30,Pitch Perfect 2,2015,https://boxd.it/7deHS7,3.5,Yes,,2024-08-29
2024-08-30,Pitch Perfect 3,2017,https://boxd.it/7dphVL,2,Yes,,2024-08-29
2024-08-31,Whiplash,2014,https://boxd.it/7dP74z,5,Yes,train time,2024-08-30
2024-09-01,High School Musical 3: Senior Year,2008,https://boxd.it/7enlrb,5,Yes,,2024-09-01
2024-09-03,Never Been Kissed,1999,https://boxd.it/7fiEoz,2,,,2024-09-02
